site_id,osm_id,confidence,review,match
29677,7124929566,0.81,1,citta
31170,259219428,0.83,1,paese
36529,936919492,0.85,0,paese
40366,241830483,0.76,1,paese
42173,113802586,1,0,paese
39474,934033925,0.76,1,citta
38595,931351663,0.98,0,paese
35340,448213063,0.79,1,paese
39146,233137018,0.65,1,citta
41545,322001523,0.83,1,paese
31084,336789502,0.67,1,citta
36294,296081640,0.75,1,paese
35319,33917165,0.74,1,citta
42080,142945397,1,0,paese
28424,384049827,0.67,1,citta
34299,31531349,0.53,1,citta
31101,211075726,0.56,1,citta
37401,930578151,0.75,1,citta
38971,1225372242,0.9,1,citta
38980,564895249,0.63,1,citta
31058,930536106,1,0,citta
42071,9464538921,1,0,paese
30640,492678858,0.6,1,citta
34765,949639912,1,0,citta
39057,920655437,0.75,1,paese
28294,44504151,0.55,1,citta
39137,55374749,0.6,1,citta
39662,1117954766,0.87,0,paese
34295,44129964,0.55,1,citta
34293,44631725,0.51,1,citta
29036,45591857,0.6,1,citta
39423,1020415553,0.5,1,citta
35648,358728221,1,0,citta
39019,391127453,0.93,0,citta
40853,948045815,0.74,1,citta
28420,144178551,1,0,citta
36030,436343075,1,0,paese
35946,210150074,1,0,citta
23870,724476142,1,0,citta
31117,1160581563,0.84,1,paese
31310,5152015321,0.79,1,paese
34870,673015714,0.71,1,citta
